Pid,Pn,Name,Salary,Team,Or,Ppg,Projected
329656,C,Claude Giroux,8600,,30,5.5,5.80736
296786,C,Sidney Crosby,9000,,23,5.4,5.41686
550752,C,Tyler Seguin,8100,,18,5.3,5.10936
268144,C,Evgeni Malkin,7700,,23,4.3,4.31686
329570,C,Joe Pavelski,6700,,24,4.2,4.25836
550754,C,Ryan Johansen,6400,,28,4.0,4.22436
392950,C,Logan Couture,6200,,24,4.0,4.05836
171367,C,Pavel Datsyuk,5200,,26,3.9,0
456624,C,Steven Stamkos,8500,,4,4.8,0
172441,C,Henrik Zetterberg,5700,,26,3.7,3.84136
329564,C,Nicklas Backstrom,5600,,29,3.4,3.66586
504244,C,John Tavares,7300,,8,4.1,3.49436
550780,C,Brock Nelson,5600,,8,4.1,3.49436
229375,C,Jeff Carter,5300,,27,3.3,3.48286
607582,C,Boone Jenner,4500,,28,3.2,3.42436
504255,C,Brayden Schenn,5300,,30,3.1,3.40736
229368,C,Eric Staal,6200,,25,3.3,3.39986
170656,C,Joe Thornton,5200,,24,3.3,3.35836
741404,C,Nathan MacKinnon,6100,,20,3.4,3.29236
230685,C,Patrice Bergeron,6400,,15,3.6,3.28486
504249,C,Matt Duchene,5700,,20,3.3,3.19236
504304,C,Marcus Johansson,4200,,29,2.9,3.16586
590939,C,Tyler Johnson,5000,,4,3.9,3.12836
498308,C,Jori Lehtera,5500,,16,3.4,3.12636
172738,C,Tomas Plekanec,5400,,11,3.6,3.11886
607594,C,Markus Granlund,4000,,17,3.3,3.06786
174942,C,Jason Spezza,5500,,18,3.2,3.00936
329563,C,Jonathan Toews,6000,,13,3.4,3.00186
326033,C,Frans Nielsen,5800,,8,3.6,2.99436
325618,C,David Krejci,5000,,15,3.3,0
329635,C,Trevor Lewis,3800,,27,2.8,2.98286
300797,C,Martin Hanzal,5100,,22,3.0,0
741409,C,Sean Monahan,4900,,17,3.2,2.96786
392952,C,Brandon Sutter,3800,,23,2.9,2.91686
600075,C,Ryan Nugent-Hopkins,5700,,12,3.3,2.86036
741408,C,Elias Lindholm,3900,,25,2.7,2.79986
495943,C,Tyler Bozak,5200,,5,3.5,2.76986
392962,C,Riley Nash,3200,,25,2.6,2.69986
170811,C,Vincent Lecavalier,3700,,30,2.3,2.60736
300789,C,Anze Kopitar,5300,,27,2.4,2.58286
550769,C,Nick Bjugstad,5900,,2,3.4,2.54536
321868,C,David Backes,5100,,16,2.8,2.52636
172474,C,Antoine Vermette,4300,,22,2.5,2.47536
456838,C,Tyler Ennis,5300,,14,2.8,2.44336
659858,C,Zemgus Girgensons,4800,,14,2.8,2.44336
659810,C,Alex Galchenyuk,4600,,11,2.9,2.41886
600101,C,Sean Couturier,3400,,30,2.1,2.40736
171090,C,Brad Richards,5300,,13,2.8,2.40186
326131,C,Carl Soderberg,4100,,15,2.7,2.38486
550771,C,Riley Sheahan,4000,,26,2.1,2.24136
297132,C,Valtteri Filppula,4500,,4,3.0,2.22836
395980,C,Artem Anisimov,3500,,28,2.0,2.22436
528331,C,Cody Eakin,4600,,18,2.4,2.20936
570272,C,Adam Henrique,4200,,10,2.7,2.17736
392947,C,Sam Gagner,4200,,22,2.2,2.17536
607590,C,Victor Rask,2900,,25,2.0,2.09986
600079,C,Ryan Strome,4600,,8,2.7,2.09436
593929,C,Brian Gibbons,2500,,28,1.8,2.02436
170954,C,Mike Ribeiro,4700,,3,2.8,1.98686
499851,C,Paul Byron,4200,,17,2.2,1.96786
607956,C,Vincent Trocheck,4500,,2,2.8,1.94536
392954,C,Lars Eller,3900,,11,2.4,1.91886
550778,C,Charlie Coyle,4100,,6,2.6,1.91136
392944,C,Kyle Turris,5000,,1,2.8,1.90386
604631,C,Craig Smith,4800,,3,2.7,1.88686
681456,C,Seth Griffith,2800,,15,2.2,1.88486
746470,C,Josh Jooris,3200,,17,2.1,1.86786
184091,C,Jussi Jokinen,4900,,2,2.7,1.84536
339752,C,Darren Helm,3400,,26,1.7,1.84136
680978,C,Cedric Paquette,2500,,4,2.6,0
329417,C,Mikhail Grabovski,4100,,8,2.4,1.79436
172089,C,Jarret Stoll,3200,,27,1.6,1.78286
447212,C,Jay Beagle,2500,,29,1.5,1.76586
593803,C,Mark Arcobello,3300,,12,2.2,1.76036
329642,C,James Sheppard,2500,,24,1.7,1.75836
177011,C,Mikko Koivu,4200,,6,2.4,0
172464,C,Vernon Fiddler,3000,,18,1.9,1.70936
543856,C,Chris VandeVelde,2500,,30,1.4,1.70736
229387,C,Mike Richards,2900,,27,1.5,1.68286
550776,C,Evgeny Kuznetsov,2700,,29,1.4,1.66586
656728,C,Luke Glendening,2700,,26,1.5,1.64136
178003,C,R.J. Umberger,2600,,30,1.3,1.60736
610878,C,Andrew Shaw,3200,,13,2.0,0
296028,C,John Mitchell,2800,,20,1.7,1.59236
177995,C,Chris Kelly,2500,,15,1.9,1.58486
495950,C,Joe Vitale,2500,,22,1.6,1.57536
504258,C,Nazem Kadri,4200,,5,2.3,1.56986
656683,C,Leo Komarov,2800,,5,2.3,1.56986
229389,C,Brian Boyle,3200,,4,2.3,1.52836
300805,C,T.J. Oshie,3600,,16,1.8,1.52636
329659,C,Patrik Berglund,3400,,16,1.8,1.52636
451706,C,David Desharnais,3900,,11,2.0,1.51886
550759,C,Mikael Granlund,3900,,6,2.2,1.51136
171136,C,Shawn Horcoff,2800,,18,1.7,1.50936
549269,C,Marcus Kruger,3000,,13,1.9,1.50186
172229,C,Boyd Gordon,3000,,12,1.9,1.46036
653311,C,Brian Flynn,3100,,14,1.8,1.44336
330094,C,Paul Stastny,4000,,16,1.7,1.42636
472380,C,Nick Spaling,2700,,23,1.4,1.41686
170782,C,Daniel Briere,3100,,20,1.5,1.39236
170456,C,Patrik Elias,3800,,10,1.9,1.37736
393971,C,Mike Santorelli,3700,,5,2.1,1.36986
729821,C,Anders Lee,3500,,8,1.9,1.29436
172504,C,Derek Roy,3400,,3,2.1,1.28686
170712,C,Matt Cullen,3100,,3,2.1,1.28686
269235,C,Travis Zajac,3700,,10,1.8,1.27736
741444,C,Alexander Wennberg,2500,,28,1.0,1.22436
178282,C,Jay McClement,2500,,25,1.1,1.19986
504290,C,Peter Holland,2900,,5,1.9,1.16986
497014,C,Joakim Andersson,2500,,26,1.0,1.14136
184271,C,Joakim Lindstrom,2500,,16,1.4,1.12636
178004,C,Marcel Goc,2500,,23,1.1,1.11686
329497,C,Ryan Carter,3100,,6,1.8,1.11136
253323,C,Kyle Brodziak,3000,,6,1.8,1.11136
659866,C,Scott Laughton,2500,,30,0.8,1.10736
235539,C,Max Talbot,2700,,20,1.2,1.09236
456699,C,Colin Wilson,3500,,3,1.9,1.08686
831068,C,Leon Draisaitl,3100,,12,1.5,1.06036
490373,C,Colton Sceviour,2700,,18,1.2,1.00936
597141,C,Andrej Nestrasil,2500,,25,0.9,0.99986
184276,C,Gregory Campbell,2500,,15,1.3,0.98486
849162,C,Liam O'Brien,2500,,29,0.7,0
600129,C,Vladislav Namestnikov,2500,,4,1.7,0.92836
741449,C,Curtis Lazar,3900,,1,1.8,0.90386
554554,C,Joakim Nordstrom,2500,,13,1.3,0.90186
451925,C,Stephen Gionta,2500,,10,1.4,0.87736
653337,C,Chris Brown,2500,,29,0.6,0.86586
496804,C,Andrew Desjardins,2500,,24,0.8,0.85836
172467,C,Cody McCormick,2500,,14,1.2,0.84336
235441,C,Maxim Lapierre,2500,,16,1.1,0.82636
269233,C,Kyle Chipchura,2500,,22,0.8,0.77536
544143,C,Michael Latta,2500,,29,0.5,0.76586
171391,C,Derek MacKenzie,2600,,2,1.6,0.74536
456702,C,Cody Hodgson,2900,,14,1.1,0.74336
549856,C,Jordan Nolan,2500,,27,0.5,0.68286
732005,C,Erik Haula,2600,,6,1.3,0.61136
600082,C,Mika Zibanejad,3000,,1,1.5,0.60386
594397,C,Brad Malone,2500,,25,0.5,0.59986
521884,C,Casey Cizikas,2700,,8,1.2,0.59436
176127,C,Paul Gaustad,2500,,3,1.4,0.58686
170801,C,Manny Malhotra,2900,,11,1.0,0.51886
170839,C,David Legwand,2800,,1,1.4,0.50386
504300,C,Jacob Josefson,2500,,10,1.0,0.47736
741405,C,Aleksander Barkov,3400,,2,1.3,0.44536
607576,C,Rocco Grimaldi,2500,,2,1.3,0.44536
521555,C,Zach Sill,2500,,23,0.4,0.41686
170629,C,Olli Jokinen,2900,,3,1.2,0.38686
554518,C,Max Reinhart,2500,,17,0.6,0.36786
172443,C,Steve Ott,2500,,16,0.6,0.32636
554498,C,Calle Jarnkrok,3000,,3,1.1,0.28686
381290,C,Trevor Smith,2500,,5,1.0,0.26986
455701,C,Zack Smith,2500,,1,1.1,0.20386
600128,C,Phillip Danault,2500,,13,0.0,-0.39814
607581,D,Adam Clendening,2700,,26,4.5,4.64136
231127,D,Shea Weber,7200,,28,4.0,4.22436
325006,D,Keith Yandle,5500,,27,4.0,4.18286
229384,D,Brent Burns,5600,,24,4.1,4.15836
254822,D,Mark Giordano,6800,,6,4.8,4.11136
568698,D,Jared Spurgeon,5400,,13,4.5,4.10186
339745,D,Kris Letang,6600,,15,4.2,3.88486
536508,D,Jake Muzzin,5500,,29,3.6,3.86586
547488,D,Roman Josi,5800,,28,3.6,3.82436
456625,D,Drew Doughty,6000,,29,3.4,3.66586
184268,D,Duncan Keith,5400,,26,3.4,3.54136
504257,D,Oliver Ekman-Larsson,5000,,27,3.3,3.48286
229378,D,Brent Seabrook,5100,,26,3.3,3.44136
456839,D,John Carlson,5300,,18,3.6,3.40936
245480,D,James Wisniewski,4900,,30,3.1,3.40736
456827,D,Erik Karlsson,7000,,3,4.2,3.38686
392955,D,Kevin Shattenkirk,5400,,22,3.4,3.37536
302953,D,Mark Streit,4800,,22,3.3,3.27536
329560,D,Erik Johnson,4900,,19,3.4,3.25086
554484,D,Justin Faulk,5000,,14,3.6,3.24336
456627,D,Alex Pietrangelo,5300,,22,3.2,3.17536
450762,D,Alec Martinez,4500,,29,2.9,3.16586
172221,D,Johnny Boychuk,4900,,12,3.6,3.16036
236148,D,Dennis Wideman,5200,,6,3.7,3.01136
329287,D,Cody Franson,5000,,8,3.6,2.99436
269519,D,Mike Green,4800,,18,3.1,2.90936
478197,D,P.K. Subban,5900,,10,3.4,2.87736
593095,D,Tyson Barrie,5100,,19,3.0,2.85086
504263,D,Ryan Ellis,3700,,28,2.6,2.82436
508872,D,T.J. Brodie,4500,,6,3.5,2.81136
184050,D,Niklas Kronwall,4400,,21,2.8,2.73386
652695,D,Torey Krug,4500,,20,2.8,2.69236
600102,D,Dougie Hamilton,3900,,20,2.8,2.69236
478687,D,Michael Stone,3600,,27,2.5,2.68286
298608,D,Jack Johnson,4200,,30,2.3,2.60736
547799,D,David Savard,3300,,30,2.3,2.60736
456704,D,Tyler Myers,4300,,25,2.5,2.59986
831066,D,Aaron Ekblad,4400,,16,2.7,2.42636
229371,D,Ryan Suter,4600,,13,2.8,2.40186
496081,D,Marco Scandella,3900,,13,2.8,2.40186
229373,D,Dion Phaneuf,4700,,8,3.0,2.39436
172653,D,Zbynek Michalek,3400,,27,2.2,2.38286
340229,D,Andrew MacDonald,3900,,22,2.4,2.37536
456832,D,Michael Del Zotto,3600,,22,2.4,2.37536
172182,D,Dennis Seidenberg,3500,,20,2.4,2.29236
172491,D,Brooks Orpik,3500,,18,2.4,2.20936
171113,D,Andrei Markov,4300,,10,2.7,2.17736
544480,D,Justin Braun,3200,,24,2.1,2.15836
660810,D,Damon Severson,2700,,11,2.6,2.11886
329285,D,Kris Russell,4200,,6,2.8,2.11136
172243,D,Trevor Daley,3600,,1,3.0,2.10386
479351,D,Jason Garrison,4500,,2,2.9,2.04536
329579,D,Andrej Sekera,4200,,14,2.4,2.04336
386807,D,Niklas Hjalmarsson,3300,,26,1.9,2.04136
729484,D,Danny DeKeyser,3100,,21,2.1,2.03386
178388,D,Marek Zidlicky,3600,,11,2.5,2.01886
660044,D,Justin Schultz,4500,,6,2.7,2.01136
504293,D,Nick Leddy,3700,,12,2.4,1.96036
302865,D,Marc-Edouard Vlasic,3200,,24,1.9,1.95836
504303,D,Tim Erixon,3000,,30,1.6,1.90736
555748,D,John Klingberg,3900,,1,2.8,1.90386
659812,D,Morgan Rielly,4200,,8,2.5,1.89436
326129,D,Roman Polak,3600,,8,2.5,1.89436
600120,D,Connor Murphy,2800,,27,1.7,1.88286
499847,D,Carl Gunnarsson,3200,,22,1.9,1.87536
171273,D,Lubomir Visnovsky,3400,,12,2.3,1.86036
593940,D,Zach Redmond,3200,,19,2.0,1.85086
330276,D,Johnny Oduya,2800,,26,1.7,1.84136
741407,D,Seth Jones,3200,,28,1.6,1.82436
323176,D,Andy Greene,3800,,11,2.3,1.81886
452133,D,Tyson Strachan,3000,,25,1.7,1.79986
397070,D,David Schlemko,2700,,27,1.6,1.78286
171320,D,Nick Schultz,2900,,22,1.8,1.77536
170982,D,Robyn Regehr,2500,,29,1.5,1.76586
521878,D,Travis Hamonic,3500,,12,2.2,1.76036
329424,D,Jan Hejda,2800,,19,1.9,1.75086
170944,D,Brian Campbell,3700,,16,2.0,1.72636
595927,D,Mattias Ekholm,2500,,28,1.5,1.72436
555860,D,Dalton Prout,2500,,30,1.4,1.70736
659868,D,Olli Maatta,3400,,15,2.0,1.68486
172162,D,Jay Bouwmeester,3200,,22,1.7,1.67536
456628,D,Luke Schenn,2800,,22,1.7,1.67536
184273,D,Matt Greene,2500,,29,1.4,1.66586
741453,D,Mirco Mueller,2500,,24,1.6,1.65836
383710,D,Anton Stralman,3100,,2,2.5,1.64536
300799,D,Jakub Kindl,3100,,21,1.7,1.63386
171099,D,Willie Mitchell,2900,,16,1.9,1.62636
395914,D,Alex Goligoski,4000,,1,2.5,1.60386
741411,D,Rasmus Ristolainen,2900,,25,1.5,1.59986
172864,D,Christian Ehrhoff,3700,,15,1.9,1.58486
504319,D,Simon Despres,2500,,15,1.9,1.58486
171036,D,Barret Jackman,2600,,22,1.6,1.57536
548735,D,Nikita Nikitin,3300,,6,2.2,1.51136
300809,D,Matt Niskanen,3200,,18,1.7,1.50936
392946,D,Karl Alzner,2700,,18,1.7,1.50936
400976,D,Mike Weber,2600,,25,1.4,1.49986
600125,D,Joseph Morrow,2700,,20,1.6,1.49236
556404,D,Zach Trotman,2500,,20,1.6,1.49236
177791,D,Paul Martin,2700,,15,1.8,1.48486
297844,D,Nicklas Grossmann,2500,,22,1.5,1.47536
568608,D,Brayden McNabb,3000,,29,1.2,1.46586
589971,D,Brenden Dillon,2500,,29,1.2,1.46586
544107,D,Matt Irwin,3000,,24,1.4,1.45836
554520,D,Radko Gudas,3700,,2,2.3,1.44536
172597,D,Jay Harrison,2900,,14,1.8,1.44336
607598,D,Xavier Ouellet,2500,,21,1.5,1.43386
172472,D,Anton Volchenkov,2500,,28,1.2,1.42436
547077,D,Eric Gelinas,3300,,11,1.9,1.41886
269238,D,Andrej Meszaros,2900,,25,1.3,1.39986
659859,D,Cody Ceci,3300,,3,2.2,1.38686
521554,D,Robert Bortuzzo,3600,,15,1.7,1.38486
170280,D,Sergei Gonchar,3100,,10,1.9,1.37736
392945,D,Thomas Hickey,3100,,12,1.8,1.36036
447294,D,Nick Holden,2500,,19,1.5,1.35086
504287,D,Dmitry Kulikov,3400,,16,1.6,1.32636
550753,D,Erik Gudbranson,2700,,16,1.6,1.32636
563202,D,Mark Fayne,2700,,6,2.0,1.31136
479603,D,Jason Demers,2700,,27,1.1,1.28286
184270,D,Tom Gilbert,2900,,10,1.8,1.27736
392959,D,Ian Cole,2500,,22,1.3,1.27536
504279,D,Calvin de Haan,2800,,12,1.7,1.26036
184285,D,Nate Guenin,2500,,19,1.4,1.25086
326026,D,Jonathan Ericsson,2500,,21,1.3,1.23386
600078,D,Adam Larsson,3000,,11,1.7,1.21886
544737,D,Kevin Connauton,2500,,30,0.9,1.20736
659814,D,Matt Dumba,3000,,13,1.6,1.20186
172167,D,Keith Ballard,2500,,13,1.6,1.20186
302331,D,Andre Benoit,2500,,25,1.1,1.19986
329663,D,Chris Summers,2500,,27,1.0,1.18286
171424,D,Mike Weaver,2900,,10,1.7,1.17736
597144,D,Alexei Emelin,2900,,10,1.7,1.17736
172593,D,Carlo Colaiacovo,2500,,22,1.2,1.17536
495305,D,Jamie McBain,2500,,29,0.9,1.16586
170969,D,Brad Stuart,2500,,19,1.3,1.15086
232379,D,John-Michael Liles,3100,,14,1.5,1.14336
171342,D,Ron Hainsey,2500,,14,1.5,1.14336
504296,D,David Rundblad,2500,,26,1.0,1.14136
296124,D,Kyle Quincey,2500,,21,1.2,1.13386
504313,D,Dylan Olsen,2500,,16,1.4,1.12636
178005,D,Tim Gleason,2500,,14,1.4,1.04336
479737,D,Brian Lashoff,2500,,21,1.1,1.03386
541897,D,Nate Prosser,2500,,13,1.4,1.00186
544879,D,Matt Bartkowski,2500,,20,1.1,0.99236
170561,D,Chris Phillips,2700,,3,1.8,0.98686
600115,D,Nathan Beaulieu,2700,,10,1.5,0.97736
170951,D,Michal Rozsival,2500,,26,0.8,0.94136
542700,D,Jeff Petry,2900,,6,1.6,0.91136
729825,D,Nate Schmidt,2500,,18,1.1,0.90936
456829,D,Jake Gardiner,3300,,8,1.5,0.89436
594808,D,Kevan Miller,2500,,20,1.0,0.89236
178001,D,Rob Scuderi,2500,,15,1.2,0.88486
229372,D,Braydon Coburn,2500,,22,0.9,0.87536
451521,D,Brett Bellemore,2500,,14,1.2,0.84336
170950,D,Andrew Ference,2900,,6,1.5,0.81136
501534,D,Jordie Benn,2600,,1,1.7,0.80386
741448,D,Nikita Zadorov,2500,,25,0.7,0.79986
170808,D,Bryan Allen,2500,,10,1.3,0.77736
230687,D,Matthew Carle,3200,,2,1.6,0.74536
498232,D,Victor Bartley,2500,,28,0.5,0.72436
268151,D,Ladislav Smid,2500,,6,1.4,0.71136
172369,D,Jordan Leopold,2500,,30,0.4,0.70736
170840,D,Stephane Robidas,2500,,8,1.3,0.69436
543483,D,Patrick Wiercioch,3300,,3,1.5,0.68686
235763,D,Deryk Engelland,2500,,6,1.3,0.61136
